GCCSA_CODE_2016,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_Inad_des_M,Inad_des_Inad_des_F,Inad_des_Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
6RTAS,129,396,323,719,492,96,584,177,45,223,3850,1144,4996,6,3,11,123,135,258,45,51,95,71,64,134,4,0,4,224,87,314,21,7,31,15,79,92,516,428,938,4,8,15,349,789,1135,99,196,300,189,248,435,646,1240,1884,4,5,10,207,132,341,340,613,952,550,749,1305,5,6,16,1590,1859,3450,314,74,389,1908,1942,3854,0,5,4,635,880,1521,574,729,1302,1212,1607,2819,7,8,13,1776,2608,4383,29,16,45,806,361,1164,2607,2999,5608,59,121,176,1666,5470,7137,661,931,1592,151,285,433,2538,6807,9341,40,190,226,779,3069,3848,894,2826,3721,457,2993,3448,690,2622,3311,2859,11701,14554,22,17,39,236,207,444,109,117,224,325,301,627,123,161,280,807,812,1617,3,0,3,1546,259,1798,540,1560,2105,0,5,8,2092,1823,3919,1804,893,2702,594,509,1102,53486,52032,105512
6GHOB,95,401,184,585,403,82,480,106,44,150,2676,867,3542,12,5,18,152,133,289,89,107,189,110,117,230,3,5,10,572,341,914,52,20,75,32,116,144,1022,844,1861,16,14,27,446,654,1101,257,446,700,360,415,772,1079,1527,2606,0,4,4,220,111,330,412,576,988,628,687,1317,26,22,46,2703,2403,5103,701,128,836,3437,2552,5984,3,4,6,623,780,1409,539,662,1201,1164,1452,2617,19,11,31,3553,5107,8666,143,67,213,1360,757,2118,5079,5944,11022,67,109,181,1749,4986,6731,1271,1602,2877,244,402,646,3327,7100,10427,52,179,235,924,3101,4023,1059,3208,4267,499,2445,2945,760,2917,3679,3302,11848,15148,19,22,41,269,235,502,204,204,412,418,396,806,294,236,532,1203,1086,2288,0,3,4,1174,176,1355,769,1756,2518,0,3,3,1947,1937,3888,1387,743,2129,448,395,848,49249,51410,100657
69799,0,0,0,0,3,0,3,0,0,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,55
69499,13,49,11,58,50,3,53,0,0,0,462,49,515,3,0,3,5,0,6,11,0,11,5,0,5,0,0,0,68,6,75,6,0,6,0,0,0,104,4,111,0,0,0,5,11,13,5,0,6,0,4,6,11,18,31,0,0,0,12,7,20,10,12,23,26,15,45,0,0,3,131,131,267,27,3,31,168,136,303,0,0,0,66,40,104,403,437,841,468,479,945,3,3,3,42,58,98,11,3,13,95,16,111,146,77,225,7,7,16,39,101,138,16,8,24,34,34,65,96,153,246,0,19,25,9,12,22,45,121,167,22,226,248,80,386,468,160,768,924,3,3,7,3,4,4,26,12,41,41,10,55,3,4,7,77,31,109,0,0,0,131,6,135,65,82,148,0,5,5,196,91,285,264,91,355,101,65,170,6785,2350,9132
5RWAU,264,566,630,1198,1235,362,1591,468,112,578,8656,2806,11459,14,12,22,89,154,245,80,101,185,100,106,205,3,0,3,257,87,342,37,16,58,7,115,123,592,593,1186,20,15,33,494,1133,1624,109,226,331,289,377,667,909,1750,2661,7,11,11,752,327,1078,674,1469,2143,1427,1802,3232,15,14,32,4371,3418,7792,381,107,488,4769,3540,8309,9,5,16,1429,1853,3282,1557,1903,3457,2998,3760,6754,29,38,67,3768,4638,8407,115,26,145,2705,1257,3963,6616,5965,12580,99,242,349,2931,12044,14975,595,1110,1702,403,791,1195,4022,14189,18215,117,601,711,1081,5237,6318,1417,4622,6034,413,3302,3717,810,3955,4763,3830,17713,21541,11,15,27,527,397,916,122,202,320,450,650,1098,32,54,91,1144,1312,2456,3,3,10,4039,863,4908,1029,2745,3771,3,18,26,5079,3633,8707,5379,2438,7821,1417,1127,2548,146485,102165,248646
5GPER,619,3901,1857,5756,4234,1457,5691,2220,785,3003,29161,9668,38833,150,115,268,880,989,1867,773,665,1434,600,457,1059,65,53,117,2458,852,3310,884,296,1181,131,332,465,5940,3757,9695,223,273,498,4513,6164,10674,1967,3188,5152,4326,3672,8002,11032,13292,24329,42,43,78,2274,1077,3347,5294,7875,13176,7606,8990,16601,203,126,327,28547,25316,53861,7850,2326,10183,36602,27767,64370,10,43,53,5729,7768,13501,6550,6001,12551,12300,13811,26106,124,137,263,15451,20905,36364,3287,887,4173,11804,5890,17697,30667,27825,58492,555,1142,1695,11255,42956,54214,7696,10861,18564,2363,4304,6663,21874,59265,81134,381,1681,2060,7779,28648,36428,7641,24854,32501,3090,15844,18940,3747,17331,21074,22644,88360,111002,112,110,223,888,964,1852,960,1151,2112,3595,3799,7391,2139,1748,3886,7692,7771,15464,22,10,31,12461,2511,14974,5483,14201,19679,4,160,173,17972,16882,34855,20710,10872,31585,4765,3632,8394,438823,422804,861625
59799,9,0,0,0,14,4,15,0,0,0,207,16,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,44,0,44,0,0,0,46,0,46,0,0,0,37,3,37,0,4,8,37,5,47,0,0,0,3,0,3,12,0,12,0,0,0,19,0,17,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,0,9,0,9,206,7,218,12,7,14,1496,99,1595
59499,61,375,103,480,396,37,434,59,20,81,2966,400,3365,10,0,10,27,32,61,48,18,66,43,4,43,0,0,0,282,12,296,41,3,47,0,0,0,449,74,524,6,8,12,43,58,103,26,32,62,39,22,59,115,121,240,0,0,0,86,22,102,118,97,215,197,119,318,3,6,10,821,800,1617,173,49,217,1002,852,1848,0,3,3,482,352,831,2257,2108,4365,2738,2457,5196,3,0,6,197,185,378,92,15,109,475,102,580,771,303,1070,32,39,75,169,566,734,65,79,145,297,388,685,566,1069,1632,29,125,152,54,124,178,215,564,780,80,967,1055,233,1087,1321,613,2869,3478,16,14,26,15,11,23,138,122,260,151,63,218,24,10,33,340,214,559,0,0,3,1150,49,1193,357,774,1136,0,37,37,1508,859,2369,1857,601,2459,432,294,726,41063,13312,54378
4RSAU,130,456,396,850,297,46,341,227,60,291,4318,1284,5599,7,4,18,111,172,281,37,35,70,52,65,121,0,0,0,138,69,206,23,15,32,9,77,82,374,438,815,12,6,16,239,841,1080,94,168,268,180,232,417,532,1245,1778,6,8,9,174,107,279,368,742,1109,543,856,1394,18,3,21,1364,1885,3245,158,82,238,1537,1967,3505,0,8,11,589,867,1454,1303,1494,2798,1891,2369,4267,14,4,22,2145,2624,4763,94,9,106,1433,688,2117,3686,3324,7009,61,152,217,2152,7677,9822,290,574,865,187,431,617,2693,8832,11529,39,292,336,431,3328,3760,1141,4397,5537,449,3695,4150,617,3028,3643,2676,14747,17423,15,19,28,144,112,256,80,136,220,348,344,685,12,25,36,598,636,1230,4,6,10,2460,497,2951,608,1650,2259,0,15,12,3071,2168,5232,2060,1142,3203,872,697,1571,77465,68830,146296
4GADE,468,2943,1002,3941,1990,523,2518,1383,386,1768,18627,4836,23466,99,62,160,747,672,1414,645,479,1130,534,391,922,17,13,32,2222,1056,3279,769,276,1045,99,292,387,5133,3236,8369,136,134,262,3618,5241,8858,1523,2673,4203,2406,2575,4986,7683,10625,18305,26,22,48,1114,482,1588,3020,3737,6753,4160,4235,8396,138,111,248,14814,14956,29770,5077,1410,6485,20030,16474,36505,12,36,45,3159,5086,8247,5110,4723,9833,8280,9846,18123,53,100,160,12155,16890,29045,4285,1006,5289,7133,3166,10301,23629,21160,44792,409,783,1187,7944,23946,31895,5890,8278,14166,1681,2686,4365,15927,35687,51614,246,838,1084,5816,21201,27013,6453,18926,25381,3916,15141,19055,3617,13501,17118,20053,69597,89654,124,114,234,366,361,730,814,883,1696,2286,2218,4501,682,599,1278,4265,4175,8447,13,8,23,7706,1370,9079,4155,9046,13205,9,135,144,11884,10569,22453,8528,4480,13006,2776,2213,4988,282376,279789,562169
